Unique ,Year,Date ,Type,TSN,Species,Rep,STA,Depth (m),Lat DD,Long DD,Acidified?,Sampling,Composit,Size,Notes,Unique non,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C,Unique acid,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C
233-234,2014,3-Aug-14,Zoop,-1,Zooplankton ,2,25,22.7,69.851,-141.718,non - acid,Nets,,,,233,NW,8.783,,,,234,NW,,,-25.995,
235-236,2014,1-Aug-14,Zoop,-1,Zooplankton ,1,L250-5,29.3,70.365,-146.118,non - acid,Nets,,,,235,NW,8.699,,,,236,NW,,,-25.828,
237-238,2014,1-Aug-14,Zoop,-1,Zooplankton ,2,L250-5,29.3,70.365,-146.118,non - acid,Nets,,,,237,NW,8.089,,,,238,NW,,,-26.332,
505-506,2014,31-Jul-14,Zoop,85266,Calanus hyperboreus,1,7,26.0,70.850,-150.061,non - acid,Nets,,,,506,0.447,11.559,2.352,,,505,0.475,,2.741,-25.481,23.354
507-508,2014,4-Aug-14,Zoop,85266,Calanus hyperboreus,1,16,61.2,70.734,-145.992,non - acid,Nets,,,,508,0.445,10.673,2.464,,,507,0.473,,3.222,-24.288,20.120
509-510,2014,31-Aug-14,Zoop,85266,Calanus hyperboreus,1,23,35.9,70.004,-141.963,non - acid,Nets,,,,510,0.501,10.397,2.739,,,509,0.363,,2.340,-25.134,16.559
73,2015,6-Aug-15,Zoop,85267,Calanus glacialis,1,149-200,207,71.21227,-149.34295,Non only,Nets,n=many,,,73,0.415,10.91,2.19,-25.78,12.14,,,,,,
75,2015,6-Aug-15,Zoop,85267,Calanus glacialis,1,71-149,68.4,71.15253,-148.41442,Non only,Nets,n=many,,,75,0.348,10.76,1.86,-25.45,9.96,,,,,,
77,2015,5-Aug-15,Zoop,85267,Calanus glacialis,1,71-146,395,70.95688,-145.80058,Non only,Nets,n=many,,,77,0.506,10.36,2.47,-26.02,13.88,,,,,,
79,2015,5-Aug-15,Zoop,85267,Calanus glacialis,1,70-145,45.8,70.49115,-144.96818,Non only,Nets,n=many,,,79,0.419,10.21,2.50,-24.52,13.17,,,,,,
81,2015,5-Aug-15,Zoop,85267,Calanus glacialis,1,71-145,103,70.67525,-144.91698,Non only,Nets,n=many,,,81,0.311,10.81,2.04,-25.34,10.08,,,,,,
83,2015,4-Aug-15,Zoop,85267,Calanus glacialis,1,143 W4,154,70.56907,-143.60012,Non only,Nets,n=many,,,83,0.340,11.26,1.65,-24.84,8.20,,,,,,
85,2015,3-Aug-15,Zoop,85267,Calanus glacialis,1,143 W6,502,70.7445,-143.59178,Non only,Nets,n=many,,,85,0.465,9.94,1.87,-27.36,13.36,,,,,,
87,2015,3-Aug-15,Zoop,85267,Calanus glacialis,1,143 W5,303,70.62602,-143.59075,Non only,Nets,n=many,,,87,0.427,10.01,1.64,-27.70,14.18,,,,,,
89,2015,6-Aug-15,Zoop,85267,Calanus glacialis,1,71-147,100,,,Non only,Nets,n=many,,,89,0.483,10.49,2.65,-25.89,13.11,,,,,,
91,2015,1-Aug-15,Zoop,85266,Calanus hyperboreus,1,152 W1,38,71.19385,-152.25312,Non only,Nets,n=many,,,91,0.274,10.51,1.40,-25.85,10.72,,,,,,
93,2015,6-Aug-15,Zoop,85266,Calanus hyperboreus,1,71-149,68.4,71.15253,-148.41442,Non only,Nets,n=many,,,93,0.483,10.74,2.48,-25.30,15.73,,,,,,
95,2015,5-Aug-15,Zoop,85266,Calanus hyperboreus,1,71-146,395,70.95688,-145.80058,Non only,Nets,n=many,,,95,0.544,10.41,2.90,-25.38,20.35,,,,,,
97,2015,4-Aug-15,Zoop,85266,Calanus hyperboreus,1,143 W4,154,70.56907,-143.60012,Non only,Nets,n=many,,,97,0.390,12.45,1.88,-25.28,8.67,,,,,,
99,2015,3-Aug-15,Zoop,85266,Calanus hyperboreus,1,143 W6,502,70.7445,-143.59178,Non only,Nets,n=many,,,99,0.455,10.56,2.75,-24.28,14.45,,,,,,
101,2015,3-Aug-15,Zoop,85266,Calanus hyperboreus,1,143 W5,303,70.62602,-143.59075,Non only,Nets,n=many,,,101,0.389,11.81,2.22,-26.21,13.22,,,,,,
103,2015,1-Aug-15,Zoop,85263,Calanus sp.,1,152 W0,15.9,71.00417,-152.37927,Non only,Nets,n=many,,,103,0.309,10.64,1.99,-24.58,10.18,,,,,,
105,2015,1-Aug-15,Zoop,85263,Calanus sp.,1,71-150,18.2,70.94037,-151.03007,Non only,Nets,n=many,,,105,0.549,10.04,3.43,-25.49,18.38,,,,,,
107,2015,2-Aug-15,Zoop,85263,Calanus sp.,1,5A,11.8,70.49468,-148.764,Non only,Nets,n=many,,,107,0.402,10.73,2.39,-25.51,14.65,,,,,,
109,2015,3-Aug-15,Zoop,85263,Calanus sp.,1,143 W1,38.8,70.25728,-143.60658,Non only,Nets,n=many,,,109,0.464,10.66,2.72,-25.16,17.44,,,,,,
